canonicalId,season,episode,title,isSpecial,streamUrl,englishSubtitle,arabicSubtitle,arabicExpected
S01E01,1,1,Rose,false,https://archive.org/download/nw_S01/E01_rose.mp4,https://archive.org/download/nw_S01/E01_rose.srt,ar/E01_rose.ar.srt,true
S01E02,1,2,The End of the World,false,https://archive.org/download/nw_S01/E02_the_end_of_the_world.mp4,https://archive.org/download/nw_S01/E02_the_end_of_the_world.srt,ar/E02_the_end_of_the_world.ar.srt,true
S01E03,1,3,The Unquiet Dead,false,https://archive.org/download/nw_S01/E03_the_unquiet_dead.mp4,https://archive.org/download/nw_S01/E03_the_unquiet_dead.srt,ar/E03_the_unquiet_dead.ar.srt,true
S01E04,1,4,Aliens of London,false,https://archive.org/download/nw_S01/E04_aliens_of_london.mp4,https://archive.org/download/nw_S01/E04_aliens_of_london.srt,ar/E04_aliens_of_london.ar.srt,true
S01E05,1,5,World War Three,false,https://archive.org/download/nw_S01/E05_world_war_three.mp4,https://archive.org/download/nw_S01/E05_world_war_three.srt,ar/E05_world_war_three.ar.srt,true
S01E06,1,6,Dalek,false,https://archive.org/download/nw_S01/E06_dalek.mp4,https://archive.org/download/nw_S01/E06_dalek.srt,ar/E06_dalek.ar.srt,true
S01E07,1,7,The Long Game,false,https://archive.org/download/nw_S01/E07_the_long_game.mp4,https://archive.org/download/nw_S01/E07_the_long_game.srt,ar/E07_the_long_game.ar.srt,true
S01E08,1,8,Father's Day,false,https://archive.org/download/nw_S01/E08_fathers_day.mp4,https://archive.org/download/nw_S01/E08_fathers_day.srt,ar/E08_fathers_day.ar.srt,true
S01E09,1,9,The Empty Child,false,https://archive.org/download/nw_S01/E09_the_empty_child.mp4,https://archive.org/download/nw_S01/E09_the_empty_child.srt,ar/E09_the_empty_child.ar.srt,true
S01E10,1,10,The Doctor Dances,false,https://archive.org/download/nw_S01/E10_the_doctor_dances.mp4,https://archive.org/download/nw_S01/E10_the_doctor_dances.srt,ar/E10_the_doctor_dances.ar.srt,true
S01E11,1,11,Boom Town,false,https://archive.org/download/nw_S01/E11_boom_town.mp4,https://archive.org/download/nw_S01/E11_boom_town.srt,ar/E11_boom_town.ar.srt,true
S01E12,1,12,Bad Wolf,false,https://archive.org/download/nw_S01/E12_bad_wolf.mp4,https://archive.org/download/nw_S01/E12_bad_wolf.srt,ar/E12_bad_wolf.ar.srt,true
S01E13,1,13,The Parting of the Ways,false,https://archive.org/download/nw_S01/E13_the_parting_of_the_ways.mp4,https://archive.org/download/nw_S01/E13_the_parting_of_the_ways.srt,ar/E13_the_parting_of_the_ways.ar.srt,true
S01E14,1,14,Born Again (Minisode),true,https://archive.org/download/nw_S01/E14_born_again_minisode.mp4,https://archive.org/download/nw_S01/E14_born_again_minisode.srt,ar/E14_born_again_minisode.ar.srt,false
S01E15,1,15,The Christmas Invasion (Special),true,https://archive.org/download/nw_S01/E15_the_christmas_invasion_special.mp4,https://archive.org/download/nw_S01/E15_the_christmas_invasion_special.srt,ar/E15_the_christmas_invasion_special.ar.srt,true
S02E01,2,1,New Earth,false,https://archive.org/download/nw_S02/E01_new_earth.mp4,https://archive.org/download/nw_S02/E01_new_earth.srt,ar/E01_new_earth.ar.srt,true
S02E02,2,2,Tooth and Claw,false,https://archive.org/download/nw_S02/E02_tooth_and_claw.mp4,https://archive.org/download/nw_S02/E02_tooth_and_claw.srt,ar/E02_tooth_and_claw.ar.srt,true
S02E03,2,3,School Reunion,false,https://archive.org/download/nw_S02/E03_school_reunion.mp4,https://archive.org/download/nw_S02/E03_school_reunion.srt,ar/E03_school_reunion.ar.srt,true
