canonicalId,title,season,episode,episodeStatus,syncStatus,intendedScore,intendedRawF1,intendedFittedF1,intendedMedianResidualMs,fittedInterceptMs,fittedSlope,offsetSpreadMs,bestAlternative,bestAlternativeTitle,bestAlternativeScore
S01E01,Rose,1,1,LOW_CONFIDENCE,,-141.38,0.8906,0.6960,17899,-40319,1.024610,42352,S01E01,Rose,-141.38
S01E02,The End of the World,1,2,LOW_CONFIDENCE,,-63.90,0.9287,0.7925,12861,-8670,0.999585,-862,S01E02,The End of the World,-63.90
S01E03,The Unquiet Dead,1,3,LOW_CONFIDENCE,,-73.77,0.9367,0.7932,13232,-10623,0.989487,-21227,S06E25,The Wedding of River Song,-52.14
S01E04,Aliens of London,1,4,LOW_CONFIDENCE,,-100.49,0.8854,0.6962,14864,37185,0.991627,-17342,S01E04,Aliens of London,-100.49
S01E05,World War Three,1,5,LOW_CONFIDENCE,,-5.41,0.9322,0.7574,6452,-56376,1.018184,33111,S01E05,World War Three,-5.41
S01E06,Dalek,1,6,LOW_CONFIDENCE,,-93.44,0.9224,0.6982,14086,-19648,0.989171,-23639,S01E06,Dalek,-93.44
S01E07,The Long Game,1,7,LOW_CONFIDENCE,,-54.37,0.9365,0.7620,11568,21670,1.003356,7128,S01E07,The Long Game,-54.37
S01E08,Father's Day,1,8,LOW_CONFIDENCE,,-117.14,0.9410,0.6625,15054,3963,0.971110,-56443,S01E08,Father's Day,-117.14
S01E09,The Empty Child,1,9,LOW_CONFIDENCE,,-137.59,0.9421,0.7126,18383,-33568,1.008245,16094,S01E09,The Empty Child,-137.59
S01E10,The Doctor Dances,1,10,LOW_CONFIDENCE,,-27.90,0.9392,0.7694,9191,-22281,1.004886,9496,S01E10,The Doctor Dances,-27.90
S01E11,Boom Town,1,11,LOW_CONFIDENCE,,-140.37,0.9616,0.7276,18432,83132,0.985037,-29156,S01E11,Boom Town,-140.37
S01E12,Bad Wolf,1,12,LOW_CONFIDENCE,,-54.22,0.9624,0.8251,11448,15874,0.983252,-33362,S08E05,Listen,-43.41
S01E13,The Parting of the Ways,1,13,LOW_CONFIDENCE,,-87.18,0.9403,0.6735,13815,-43175,1.001698,3585,S01E13,The Parting of the Ways,-87.18
S01E15,The Christmas Invasion (Special),1,15,LOW_CONFIDENCE,,-160.99,0.8349,0.6602,19156,-26886,0.981924,-49587,S01E15,The Christmas Invasion (Special),-160.99
S02E01,New Earth,2,1,LOW_CONFIDENCE,,0.82,0.9495,0.7987,6900,5761,1.004029,8320,S02E01,New Earth,0.82
S02E02,Tooth and Claw,2,2,LOW_CONFIDENCE,,-168.82,0.9323,0.7253,20603,63707,0.979511,-43488,S09E12,Face the Raven,-128.69
S02E03,School Reunion,2,3,LOW_CONFIDENCE,,-63.46,0.9440,0.7040,11693,-21993,0.993420,-13765,S02E03,School Reunion,-63.46
S02E04,The Girl in the Fireplace,2,4,LOW_CONFIDENCE,,-6.23,0.9347,0.7503,6869,34462,0.991395,-17259,S02E04,The Girl in the Fireplace,-6.23
S02E05,Rise of the Cybermen,2,5,LOW_CONFIDENCE,,-153.82,0.9451,0.6862,19852,53790,1.003065,6489,S03E03,Gridlock,-28.81
S02E06,The Age of Steel,2,6,LOW_CONFIDENCE,,-79.62,0.9484,0.7374,12745,-41891,1.018947,41087,S02E06,The Age of Steel,-79.62
S02E07,The Idiot's Lantern,2,7,LOW_CONFIDENCE,,-104.36,0.9247,0.7330,15882,35072,0.997882,-4180,S02E07,The Idiot's Lantern,-104.36
S02E08,The Impossible Planet,2,8,LOW_CONFIDENCE,,5.42,0.9531,0.9190,7700,1180,0.998479,-3240,S02E08,The Impossible Planet,5.42
S02E09,The Satan Pit,2,9,LOW_CONFIDENCE,,-97.35,0.9537,0.8047,15428,-7973,0.989746,-22423,S09E11,Sleep No More,-71.25
S02E10,Love & Monsters,2,10,LOW_CONFIDENCE,,-149.42,0.9468,0.8261,20801,-34523,0.998343,-3201,S06E25,The Wedding of River Song,-58.40
S02E11,Fear Her,2,11,LOW_CONFIDENCE,,-175.19,0.9198,0.7259,21336,-69063,1.019203,37505,S05E03,The Beast Below,-66.73
S02E12,Army of Ghosts,2,12,LOW_CONFIDENCE,,-49.97,0.9442,0.7836,10812,-21603,1.014517,28658,S02E12,Army of Ghosts,-49.97
S02E13,Doomsday,2,13,LOW_CONFIDENCE,,-122.16,0.9354,0.7553,17205,-45580,0.989174,-22844,S02E13,Doomsday,-122.16
